fish_weight_lower,fish_weight_upper,percent_body_weight,feed_type,point_importance
0,0.39,9,Nutra_80,1
0.39,0.99,8.6,Nutra_80,1
0.99,2.76,8,Nutra_80,1
2.76,5.2,7.5,Nutra_120,1
5.2,10.7,7,Nutra_120,1
10.7,16.1,6.25,Nutra_160,1
16.1,25,5.7,Nutra_160,1
25,200,2.4,GrowerPhase,1
200,400,1.9,GrowerPhase,1
400,700,1.6,GrowerPhase,1
